"word","n"
"NA NA",2271
"mrt station",2209
"minute walk",1822
"walking distance",1561
"bus stop",1094
"public transport",745
"convenient location",578
"minuteute walk",562
"easy access",484
"swimminuteg pool",477
"automated posting",467
"washing machine",457
"host canceled",445
"bus stops",432
"train station",422
"pleasant stay",406
"reservation days",405
"super clean",400
"friendly host",399
"mrt stations",394
"nice host",388
"orchard road",377
"short stay",377
"food court",370
"conveniently located",364
"short walk",361
"bus station",346
"perfect location",345
"air conditioning",338
"visit singapore",327
"excellent location",324
"comfortable stay",320
"public transportation",317
"marina bay",314
"location close",309
"local food",306
"nice stay",300
"recommend staying",297
"china town",279
"minute walking",279
"sparkling clean",272
"easy check",261
"shopping mall",257
"city center",256
"nice location",249
"comfortable bed",247
"time staying",247
"helpful host",244
"food options",230
"nearest mrt",228
"wonderful stay",225
"centrally located",220
"central location",215
"quick response",213
"clean comfortable",208
"nice clean",207
"hot water",203
"metro station",202
"hawker center",199
"visiting singapore",199
"easily accessible",192
"friendly staff",190
"strongly recommend",189
"city centre",186
"air con",184
"nice apartment",181
"clarke quay",180
"private bathroom",180
"wonderful host",178
"chinatown mrt",175
"super nice",174
"amazing host",173
"website hidden",172
"clean apartment",168
"super friendly",167
"excellent host",161
"farrer park",161
"location clean",160
"clean spacious",156
"super easy",154
"tiong bahru",153
"fantastic location",152
"responsive host",146
"super helpful",146
"amazing location",145
"washer dryer",143
"food courts",141
"late check",141
"subway station",139
"fast response",138
"late night",136
"location easy",136
"shopping malls",136
"enjoyed staying",134
"hawker centre",133
"extremely helpful",132
"east coast",131
"grocery store",128
"changi airport",126
"clean quiet",126
"hassle free",126
"red light",126
"super convenient",126
"front desk",125
"de la",124
"food centre",122
"lovely stay",122
"airbnb experience",120
"restaurants nearby",120
"business trip",119
"quiet neighborhood",119
"bit noisy",118
"hair dryer",118
"reasonable price",118
"park mrt",117
"fantastic host",114
"comfy bed",113
"shared bathroom",113
"air conditioner",111
"explore singapore",111
"spacious clean",111
"helpful staff",110
"main road",110
"nice experience",110
"located close",109
"wi fi",109
"food center",107
"food stalls",106
"basic amenities",105
"local tips",105
"night stay",105
"convenience store",103
"experience staying",101
"super host",101
"convenience stores",100
"jalan besar",100
"ground floor",99
"exploring singapore",98
"light district",98
"quick responses",97
"bay sands",96
"free breakfast",96
"bus stations",95
"amazing stay",93
"tourist attractions",93
"short term",92
"green corner",91
"quiet neighbourhood",91
"ve stayed",91
"wonderful experience",91
"bus ride",90
"heritage apartments",90
"air conditioned",89
"excellent stay",89
"location nice",89
"est tr",88
"spacious apartment",88
"awesome host",87
"smooth check",87
"totally recommend",87
"accommodating host",86
"super close",85
"clean space",84
"clean tidy",84
"coast park",84
"nice pool",84
"nice view",84
"wonderful time",84
"comfortable clean",83
"location wise",83
"die unterkunft",82
"food nearby",82
"fort canning",82
"easy walk",81
"lovely host",81
"nice people",81
"solo traveler",81
"strategic location",81
"enjoyable stay",80
"extremely clean",80
"bien situ",79
"mrt bus",79
"pleasant experience",77
"loved staying",76
"walkable distance",76
"air bnb",75
"feel comfortable",75
"responded quickly",75
"toilet paper",75
"food market",74
"main attractions",74
"newton mrt",74
"paya lebar",74
"term stay",74
"club street",73
"das zimmer",73
"light sleeper",73
"nice person",73
"chi siang",72
"clark quay",72
"shopping centre",72
"somerset mrt",72
"affordable price",71
"host highly",71
"ist sehr",71
"local restaurants",71
"perfect host",71
"boat quay",70
"friendly hosts",70
"hawker centers",70
"la chambre",70
"location minute",70
"nice touch",70
"public transit",70
"stay comfortable",70
"water pressure",70
"newton food",69
"spotlessly clean",69
"stay highly",69
"uncle tan",69
"amazing view",68
"fantastic stay",68
"friendly helpful",68
"quiet location",68
"short trip",68
"clean modern",67
"quiet clean",67
"shopping center",67
"aljunied mrt",66
"clean bathroom",66
"clean nice",66
"stay close",66
"super comfortable",66
"cheap food",65
"food choices",65
"food street",65
"nous avons",65
"novena mrt",65
"perfectly located",65
"super fast",65
"arab street",64
"customer service",64
"india mrt",64
"serviced apartment",64
"awesome location",63
"awesome stay",63
"nice house",63
"studio apartment",63
"boon keng",62
"extremely friendly",62
"fair price",62
"nice quiet",62
"square mall",62
"water heater",62
"close proximity",61
"easy walking",61
"train stations",61
"quiet residential",60
"capsule hotel",59
"coffee shops",59
"die lage",59
"downtown line",59
"excellent communication",59
"fast wifi",59
"hawker food",59
"top notch",59
"clean cozy",58
"drinking water",58
"mrt minute",58
"nearby mrt",58
"solo traveller",58
"star hotel",58
"stay clean",58
"street food",58
"city square",57
"clean house",57
"cleaning service",57
"comfortable apartment",57
"front door",57
"fuss free",57
"mrt lines",57
"sauber und",57
"super responsive",57
"beautiful house",56
"double bed",56
"dream lodge",56
"haji lane",56
"hawker centres",56
"tanjong pagar",56
"top floor",56
"bugis junction",55
"delicious food",55
"house keeper",55
"amazing experience",54
"ear plugs",54
"location walking",54
"swimminuteg pools",54
"welcominuteg host",54
"central singapore",53
"extra mile",53
"grocery stores",53
"location super",53
"natural light",53
"salle de",53
"sehr gut",53
"telok ayer",53
"eateries nearby",52
"night life",52
"simple breakfast",52
"smart tv",52
"sofa bed",52
"amenities provided",51
"besar mrt",51
"comfortable beds",51
"nearest bus",51
"singapore highly",51
"storage space",51
"coffee tea",50
"cozy apartment",50
"late flight",50
"lavender mrt",50
"nicely decorated",50
"perfect stay",50
"war sehr",50
"bugis mrt",49
"clean convenient",49
"lovely apartment",49
"closest mrt",48
"easy communication",48
"pool gym",48
"robertson quay",48
"service apartment",48
"stay location",48
"vivo city",48
"wifi connection",48
"wonderful location",48
"absolutely recommend",47
"clean easy",47
"day stay",47
"je recommande",47
"rabbit carrot",47
"carrot gun",46
"clean bed",46
"private space",46
"restaurants bars",46
"royal hostel",46
"tourist spots",46
"upper changi",46
"clean location",45
"sehr sauber",45
"station minute",45
"super comfy",45
"thoughtful host",45
"apartment building",44
"bed sheets",44
"body wash",44
"chicken rice",44
"clean safe",44
"de bain",44
"extremely convenient",44
"hot shower",44
"local eateries",44
"mrt line",44
"nice food",44
"short walking",44
"size bed",44
"beautiful home",43
"bedroom apartment",43
"bus routes",43
"friendly people",43
"living space",43
"mrt stop",43
"night time",43
"rapport qualit",43
"tea coffee",43
