word,frequency
stay,16906
clean,12817
location,12259
nice,10404
host,9307
mrt,7999
singapore,7864
recommend,7448
apartment,7249
comfortable,4894
close,4830
easy,4600
helpful,4490
minute,4427
time,4332
friendly,4164
check,4162
station,4124
walk,4054
food,3989
convenient,3619
bus,3494
house,3383
highly,2978
perfect,2890
quiet,2726
super,2627
located,2572
bed,2496
experience,2479
city,2451
home,2432
staying,2344
spacious,2282
night,2231
family,2225
bathroom,2180
space,2114
walking,2112
amazing,2048
airbnb,1993
pool,1974
excellent,1943
restaurants,1926
day,1911
nearby,1909
distance,1835
staff,1811
lovely,1802
stayed,1784
people,1765
enjoyed,1760
amenities,1720
bit,1717
short,1633
airport,1631
provided,1605
lot,1547
local,1533
wonderful,1526
quick,1524
kitchen,1497
communication,1489
price,1480
responsive,1444
hosts,1441
days,1417
NA,1386
hostel,1383
stop,1362
breakfast,1351
money,1344
public,1336
cozy,1333
feel,1328
access,1312
chinatown,1289
visit,1236
hotel,1235
love,1234
lots,1189
street,1169
didn,1165
trip,1151
shopping,1134
fantastic,1130
beautiful,1105
shower,1099
accommodating,1096
transport,1073
late,1067
awesome,1063
road,1056
de,1047
air,1041
service,1040
building,1039
central,1039
view,1031
water,1027
pleasant,1014
center,1009
fast,996
arrival,994
loved,993
wifi,992
don,983
hospitality,951
safe,942
minuteute,940
floor,929
door,920
facilities,911
guests,885
private,884
sleep,872
neighborhood,854
person,853
orchard,851
train,841
shops,838
extremely,833
free,824
pretty,820
toilet,814
centre,812
easily,809
unit,807
expected,804
mall,804
welcominuteg,804
la,796
und,793
book,787
living,786
accessible,775
india,763
metro,763
nights,753
town,750
questions,748
bedroom,746
morning,745
stations,739
tidy,737
pictures,731
comfy,721
cosy,719
warm,718
travel,716
friends,714
studio,709
accommodation,707
hawker,706
helped,706
taxi,698
transportation,690
noise,686
modern,684
worth,674
arrived,673
hot,673
eat,665
couple,662
plenty,662
downtown,656
response,653
cheap,651
light,642
happy,641
luggage,639
tips,639
enjoy,638
stops,632
equipped,630
flat,629
shared,619
tv,616
washing,615
quickly,602
found,600
condo,599
ll,597
coffee,589
die,588
machine,588
basic,585
towels,579
park,576
main,575
est,569
front,569
supermarket,567
privacy,566
meet,564
simple,564
beds,559
balcony,555
met,554
ve,554
flight,553
hidden,549
reservation,538
photos,535
laundry,531
owner,530
noisy,528
cool,524
sg,520
alex,519
issue,517
dryer,516
tr,516
budget,514
times,511
gym,508
bars,505
store,497
ist,495
week,495
information,494
top,492
booking,489
business,488
attractions,487
neighbourhood,487
respond,485
listing,483
posting,481
options,479
guest,478
peaceful,478
property,477
automated,476
booked,474
canceled,474
eateries,474
sehr,474
ac,473
fine,473
future,471
convenience,470
subway,468
bad,463
extra,463
market,461
rest,458
neat,456
bay,455
reach,455
conveniently,452
affordable,451
hours,450
stylish,444
restaurant,442
absolutely,440
due,440
smooth,440
inside,437
makes,435
wasn,431
es,428
buses,426
fridge,423
common,420
le,420
bathrooms,418
bugis,418
nearest,418
bring,417
prompt,417
care,415
left,415
size,415
en,412
kids,412
heart,411
provide,409
choice,407
appreciated,406
expect,406
ideal,405
aircon,404
quay,401
cleanliness,400
instructions,399
leave,399
court,397
grab,397
tourist,394
spot,389
cleaning,387
huge,386
hospitable,385
issues,384
including,382
return,380
live,378
marina,376
checked,375
cominuteg,373
