neighbourhood_cleansed,avg_sentiment_score
ANG MO KIO,7
BEDOK,20
BISHAN,8
BUKIT BATOK,8
BUKIT MERAH,22
BUKIT PANJANG,8
BUKIT TIMAH,14
CENTRAL WATER CATCHMENT,4
CHANGI,3
CHOA CHU KANG,9
CLEMENTI,11
DOWNTOWN CORE,27
GEYLANG,43
HOUGANG,12
JURONG EAST,6
JURONG WEST,14
KALLANG,41
MANDAI,3
MARINE PARADE,19
MUSEUM,7
NEWTON,13
NOVENA,26
ORCHARD,13
OUTRAM,39
PASIR RIS,11
PUNGGOL,15
QUEENSTOWN,9
RIVER VALLEY,24
ROCHOR,44
SEMBAWANG,3
SENGKANG,9
SERANGOON,17
SINGAPORE RIVER,13
SOUTHERN ISLANDS,8
TAMPINES,28
TANGLIN,16
TOA PAYOH,17
TUAS,2
WOODLANDS,13
YISHUN,11
